stop_id,stop_name,zone_id,stop_lat,stop_lon
58386,Mbnr New Town,Mbnr New Town,17.374945,78.553442
58387,Mohan Nagar - Dsnr,Mohan Nagar - Dsnr,17.373811,78.549946
58388,Commercial Tax Colony,Commercial Tax Colony,17.373033,78.547608
58389,Sbi Colony Kothapet,Sbi Colony Kothapet,17.372043,78.543135
58390,Annamacharya College,Annamacharya College,17.303444,78.734889
58391,Mount Opera,Mount Opera,17.306361,78.719611
58392,Shamshabad,Shamshabad,17.264461,78.391338
58393,Thondupally-Shamshabad,Thondupally-Shamshabad,17.249628,78.375134
58394,Gachibowli,Gachibowli,17.438217,78.36351
58395,Thondupally-Shamshabad,Thondupally-Shamshabad,17.2545,78.380295
58396,Rajendranagar,Rajendranagar,17.321896,78.402101
58397,Police Academy-Tspa Junction,Police Academy-Tspa Junction,17.350687,78.358124
58398,Gachibowli,Gachibowli,17.439663,78.363563
58399,Narsingi X Roads,Narsingi X Roads,17.4002,78.3531
58400,Narsinghi,Narsinghi,17.387764,78.357217
58401,Himayath Sagar,Himayath Sagar,17.339066,78.36212
58402,Himayath Sagar,Himayath Sagar,17.325404,78.374866
58403,Walanthari,Walanthari,17.3231,78.3819
58404,Rajendranagar,Rajendranagar,17.322014,78.401694
58405,Budvel,Budvel,17.333111,78.409494
